13 1.05507 1.08055
14 1.07507 1.10055
15 1.09507 1.12054
16 1.09507 1.12061
17 1.11507 1.14055
18 1.13507 1.16054
19 1.13508 1.16061
20 1.15507 1.18055
21 1.17507 1.20054
22 1.17508 1.20061
24 1.19507 1.22055
25 1.21507 1.24055
26 1.23507 1.26054
27 1.23507 1.26061
28 1.25507 1.28055
29 1.27507 1.30054
30 1.27508 1.30061
31 1.29507 1.32055
32 1.31507 1.34054
33 1.31508 1.34061
34 1.33507 1.36055
35 1.35507 1.38055
36 1.37507 1.40054
37 1.37507 1.40061
40 1.39507 1.42055
41 1.41507 1.44054
42 1.41507 1.44061
43 1.43507 1.46055
44 1.45507 1.48054
45 1.45508 1.48061
46 1.47507 1.50055
47 1.49507 1.52054
48 1.49508 1.52061
49 1.51507 1.54055
50 1.53507 1.56055
51 1.55507 1.58054
52 1.55507 1.58061
53 1.57507 1.60055
54 1.59507 1.62054
55 1.59508 1.62061
56 1.61507 1.64055
57 1.63507 1.66054
58 1.63508 1.66061
59 1.65507 1.68055
60 1.67507 1.70055
61 1.69507 1.72054
62 1.69507 1.72061
63 1.71507 1.74055
64 1.73507 1.76054
65 1.73507 1.76061
66 1.75507 1.78055
68 1.77507 1.80054
70 1.77508 1.80061
71 1.79507 1.82055
73 1.81507 1.84054
74 1.81508 1.84061
75 1.83507 1.86055
77 1.85507 1.88055
78 1.87507 1.90054
79 1.87507 1.90061
80 1.89507 1.92055
82 2.35507 2.38055
83 2.37507 2.40054
84 2.37507 2.40061
85 2.39507 2.42055
86 2.41507 2.44054
87 2.41508 2.44061
88 2.43507 2.46055
89 2.45507 2.48054
90 2.45508 2.48061
91 2.47507 2.50055
92 2.49507 2.52055
93 2.51507 2.54054
94 2.51507 2.54061
95 2.53507 2.56055
96 2.55507 2.58054
97 2.55507 2.58061
98 2.57507 2.60055
99 2.59507 2.62054
100 2.59508 2.62061
101 2.61507 2.64055
102 2.63507 2.66054
103 2.63508 2.66061
104 2.65507 2.68055
105 2.67507 2.70055
106 2.69507 2.72054
107 2.69507 2.72061
108 2.71507 2.74055
109 2.73507 2.76054
110 2.73508 2.76061
111 2.75507 2.78055
112 2.77507 2.80054
113 2.77508 2.80061
114 2.79507 2.82055
115 2.81507 2.84055
116 2.83507 2.86054
117 2.83507 2.86061
118 2.85507 2.88055
119 2.87507 2.90054
120 2.87507 2.90061
121 2.89507 2.92055
122 2.91507 2.94054
123 2.91508 2.94061
124 2.93507 2.96055
125 2.95507 2.98054
126 2.95508 2.98061
127 2.97507 3.00055
128 2.99507 3.02055
129 3.01507 3.04054
130 3.01507 3.04061
131 3.03507 3.06055
132 3.05507 3.08054
133 3.05508 3.08061
134 3.07507 3.10055
135 3.09507 3.12054
136 3.09508 3.12061
137 3.11507 3.14055
138 3.13507 3.16055
